_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId
60395d3c0a7217c72c0000f9,,,1.61437E+12,1.61437E+12,,1.61437E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603877bb0a720fde10000074,,,1.61431E+12,1.61431E+12,,1.61431E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603882140a7217c72c00009c,,,1.61432E+12,1.61432E+12,,1.61432E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603862720a720fde1000006b,,,1.61431E+12,1.61431E+12,,1.61431E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6038e1020a720fde100000a4,,,1.61434E+12,1.61434E+12,,1.61434E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60395c0e0a720fde100000d7,,,1.61437E+12,1.61437E+12,,1.61437E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603989c30a720fde10000111,,,1.61438E+12,1.61438E+12,,1.61438E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603973f80a720fde100000e3,25,COMPLETE_NONPARTNER_RECEIPT,1.61438E+12,1.61438E+12,,1.61438E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
60392f870a7217c72c0000e7,,,1.61436E+12,1.61436E+12,,1.61436E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603905540a720fde100000b3,,,1.61435E+12,1.61435E+12,,1.61435E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60394dff0a720fde100000d1,,,1.61437E+12,1.61437E+12,,1.61437E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60392d2d0a720fde100000c1,,,1.61436E+12,1.61436E+12,,1.61436E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60397f340a7217c72c000133,,,1.61438E+12,1.61438E+12,,1.61438E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603978600a7217c72c00010b,25,COMPLETE_NONPARTNER_RECEIPT,1.61438E+12,1.61438E+12,,1.61438E+12,,25,1.61283E+12,2,REJECTED,25.58,5fc961c3b8cfca11a077dd33
6038a5400a720fde10000088,,,1.61433E+12,1.61433E+12,,1.61433E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60391f210a7217c72c0000de,,,1.61436E+12,1.61436E+12,,1.61436E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60386aa50a7217c72c000091,,,1.61431E+12,1.61431E+12,,1.61431E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6038e4840a720fde100000a6,,,1.61434E+12,1.61434E+12,,1.61434E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6038dd7c0a7217c72c0000c0,,,1.61434E+12,1.61434E+12,,1.61434E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603977e70a720fde100000e8,25,COMPLETE_NONPARTNER_RECEIPT,1.61438E+12,1.61438E+12,1.61438E+12,1.61438E+12,1.61438E+12,25,1.61412E+12,1,FINISHED,3.99,5fc961c3b8cfca11a077dd33
6038f2950a7217c72c0000ca,,,1.61434E+12,1.61434E+12,,1.61434E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603900a60a720fde100000b1,,,1.61435E+12,1.61435E+12,,1.61435E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603946f60a720fde100000ce,,,1.61437E+12,1.61437E+12,,1.61437E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603943720a7217c72c0000ed,,,1.61437E+12,1.61437E+12,,1.61437E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
60390eb50a720fde100000b7,,,1.61435E+12,1.61435E+12,,1.61435E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6039575d0a7217c72c0000f7,,,1.61437E+12,1.61437E+12,,1.61437E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
6038cabd0a720fde1000009c,,,1.61433E+12,1.61433E+12,,1.61433E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603a2a470a720fde10000197,25,COMPLETE_NONPARTNER_RECEIPT,1.61442E+12,1.61442E+12,,1.61442E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
603a327b0a7217c72c0001d1,25,COMPLETE_NONPARTNER_RECEIPT,1.61443E+12,1.61443E+12,,1.61443E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
603a81090a720fde100001e0,,,1.61445E+12,1.61445E+12,,1.61445E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
603a54770a720fde100001bd,25,COMPLETE_NONPARTNER_RECEIPT,1.61444E+12,1.61444E+12,,1.61444E+12,,25,1.59762E+12,2,REJECTED,34.96,5fc961c3b8cfca11a077dd33
6039fa430a720fde10000174,,,1.61441E+12,1.61441E+12,,1.61441E+12,,,,,SUBMITTED,,5fc961c3b8cfca11a077dd33
